,@status,@severity,cwe->@id,results->result->description->#text,results->result->tool->@category,results->result->tool->@name,rule->@code,rule->@name,escalated_predicted,escalated_values_predicted,escalated_binary_predicted
112,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
113,false-positive,info,398.0,Avoid using global variables.,Best Practices,PMD,PMD-Basic Ecmascript-GlobalVariable,Undeclared variables are global by default,False,0.019659579,0
114,escalated,info,,,,,JH--W058,Missing '()' invoking constructor,escalated,0.9626646,1
115,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
116,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
117,escalated,info,398.0,The for-in loop variable 'c' should be explicitly scoped with var to avoid pollution.,Best Practices,PMD,PMD-Basic Ecmascript-ScopeForInVariable,For-in loop variable not explicitly scoped,escalated,0.895004,1
118,escalated,info,,,,,JH--W117,Not defined,escalated,0.9665334,1
119,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
120,escalated,info,,,,,JH--W117,Not defined,escalated,0.9665334,1
121,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
122,false-positive,info,,,,,JH--W004,Function already defined,False,0.06297642,0
123,escalated,info,,Missing '()' invoking a constructor.,,JSHint,JH--W058,Missing '()' invoking constructor,escalated,0.970675,1
124,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
125,escalated,info,,'escape' is not defined.,,JSHint,JH--W117,Not defined,escalated,0.9523746,1
126,false-positive,info,,A leading decimal point can be confused with a dot: '.5'.,,JSHint,JH--W008,A leading decimal point can be confused with a dot,False,0.12676549,0
127,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
128,false-positive,info,,,,,JH--W004,Function already defined,False,0.06297642,0
129,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
130,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
131,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
132,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
133,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
134,escalated,info,,Missing '()' invoking a constructor.,,JSHint,JH--W058,Missing '()' invoking constructor,escalated,0.970675,1
135,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
136,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
137,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
138,escalated,info,,,,,JH--W117,Not defined,escalated,0.9665334,1
139,escalated,info,,,,,JH--W040,Possible strict violation,escalated,0.9362579,1
140,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
141,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
142,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
143,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
144,false-positive,info,,'b' is already defined.,,JSHint,JH--W004,Function already defined,False,0.032650888,0
145,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
146,escalated,info,,,,,JH--W117,Not defined,escalated,0.9665334,1
147,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
148,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
149,false-positive,info,,'h' is already defined.,,JSHint,JH--W004,Function already defined,False,0.0334678,0
150,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
151,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
152,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
153,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
154,false-positive,info,,'d' is already defined.,,JSHint,JH--W004,Function already defined,False,0.046524942,0
155,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
156,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
157,escalated,info,,Missing '()' invoking a constructor.,,JSHint,JH--W058,Missing '()' invoking constructor,escalated,0.970675,1
158,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
159,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
160,escalated,info,,Missing '()' invoking a constructor.,,JSHint,JH--W058,Missing '()' invoking constructor,escalated,0.970675,1
161,false-positive,info,,,,,JH--W008,A leading decimal point can be confused with a dot,False,0.29232168,0
162,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
163,false-positive,info,,'b' is already defined.,,JSHint,JH--W004,Function already defined,False,0.032650888,0
164,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
165,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
166,escalated,info,398.0,The for-in loop variable 'b' should be explicitly scoped with var to avoid pollution.,Best Practices,PMD,PMD-Basic Ecmascript-ScopeForInVariable,For-in loop variable not explicitly scoped,escalated,0.89841783,1
167,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
168,escalated,info,,Missing '()' invoking a constructor.,,JSHint,JH--W058,Missing '()' invoking constructor,escalated,0.970675,1
169,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
170,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
171,escalated,info,398.0,The for-in loop variable 'd' should be explicitly scoped with var to avoid pollution.,Best Practices,PMD,PMD-Basic Ecmascript-ScopeForInVariable,For-in loop variable not explicitly scoped,escalated,0.8949324,1
172,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
173,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
174,escalated,info,,"If a strict mode function is executed using function invocation, its 'this' value will be undefined.",,JSHint,JH--W040,Possible strict violation,escalated,0.93144214,1
175,false-positive,info,,"Use the function form of ""use strict"".",,JSHint,JH--W097,Use function form of 'use strict',False,0.44431102,0
176,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
177,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
178,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
179,escalated,info,398.0,The for-in loop variable 'c' should be explicitly scoped with var to avoid pollution.,Best Practices,PMD,PMD-Basic Ecmascript-ScopeForInVariable,For-in loop variable not explicitly scoped,escalated,0.895004,1
180,escalated,info,,Missing '()' invoking a constructor.,,JSHint,JH--W058,Missing '()' invoking constructor,escalated,0.970675,1
181,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
182,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
183,escalated,info,,,,,JH--W040,Possible strict violation,escalated,0.9362579,1
184,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
185,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
186,false-positive,info,,A leading decimal point can be confused with a dot: '.5'.,,JSHint,JH--W008,A leading decimal point can be confused with a dot,False,0.12676549,0
187,false-positive,info,398.0,Avoid using global variables.,Best Practices,PMD,PMD-Basic Ecmascript-GlobalVariable,Undeclared variables are global by default,False,0.019659579,0
188,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
189,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
190,escalated,info,,Missing '()' invoking a constructor.,,JSHint,JH--W058,Missing '()' invoking constructor,escalated,0.970675,1
191,escalated,info,,,,,JH--W058,Missing '()' invoking constructor,escalated,0.9626646,1
192,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
193,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
194,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
195,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
196,false-positive,info,,A leading decimal point can be confused with a dot: '.5'.,,JSHint,JH--W008,A leading decimal point can be confused with a dot,False,0.12676549,0
197,escalated,info,,Missing '()' invoking a constructor.,,JSHint,JH--W058,Missing '()' invoking constructor,escalated,0.970675,1
198,false-positive,info,,'a' is already defined.,,JSHint,JH--W004,Function already defined,False,0.0362916,0
199,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
200,escalated,info,,'unescape' is not defined.,,JSHint,JH--W117,Not defined,escalated,0.9524958,1
201,escalated,info,,'document' is not defined.,,JSHint,JH--W117,Not defined,escalated,0.9565363,1
202,escalated,info,,Missing '()' invoking a constructor.,,JSHint,JH--W058,Missing '()' invoking constructor,escalated,0.970675,1
203,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
204,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
205,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
206,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
207,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
208,false-positive,info,,'b' is already defined.,,JSHint,JH--W004,Function already defined,False,0.032650888,0
209,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
210,false-positive,info,,'d' used out of scope.,,JSHint,JH--W038,Use out of scope,False,0.254699,0
211,false-positive,info,,'h' is already defined.,,JSHint,JH--W004,Function already defined,False,0.0334678,0
212,false-positive,info,,'a' is already defined.,,JSHint,JH--W004,Function already defined,False,0.0362916,0
213,false-positive,info,,,,,JH--W004,Function already defined,False,0.06297642,0
214,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
215,escalated,info,,"If a strict mode function is executed using function invocation, its 'this' value will be undefined.",,JSHint,JH--W040,Possible strict violation,escalated,0.93144214,1
216,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
217,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
218,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
219,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
220,false-positive,info,,'d' used out of scope.,,JSHint,JH--W038,Use out of scope,False,0.254699,0
221,escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.986696,1
222,escalated,info,,Expected a conditional expression and instead saw an assignment.,,JSHint,JH--W084,Expected conditional expression and saw an assignment,escalated,0.8205125,1
223,escalated,info,,,,,JH--W030,Expected an assignment or function call and saw an expression,escalated,0.989495,1
224,escalated,info,,Missing '()' invoking a constructor.,,JSHint,JH--W058,Missing '()' invoking constructor,escalated,0.970675,1
225,escalated,info,,Label 'a' on try statement.,,JSHint,JH--W028,Label on statement,escalated,0.8318667,1
